n_processes, n_leaves, runtime, encoding_time, sorting_time
1, 273785, 140532, 348, 29751
2, 273645, 87837, 173, 16716
4, 273778, 22893, 117, 8881
8, 273162, 16376, 121, 6112
16, 274051, 15758, 115, 5289
32, 273869, 5625, 58, 2849
